                    SOFT STORY PROPERTIES LIST (Updated Every Wednesday),,,,,,,,,,,
BLOCK,LOT,PROPERTY,NOTICE,SCREENING FORM,,OPT. EVALUATION,,IN / OUT,TIER,,
3614,040,778 SHOTWELL ST,X,09/07/14,09/07/14,,,IN,3,Screening Form Accepted,
3615,009,1080 SOUTH VAN NESS AV,X,05/22/14,05/27/14,,,OUT,,Not Subject to the Program,
3615,009A,1086 SOUTH VAN NESS AV,X,05/22/14,05/27/14,,,OUT,,Not Subject to the Program,
3615,052,627 CAPP ST,X,07/23/14,07/23/14,,,IN,3,Screening Form Accepted,
3615,006A,1062 SOUTH VAN NESS AV,X,09/12/14,09/12/14,,,IN,3,Screening Form Accepted,
3615,033,626 CAPP ST,X,12/18/13,12/18/13,,,IN,3,Screening Form Accepted,
3615,034,628 CAPP ST,X,12/18/13,12/18/13,,,IN,3,Screening Form Accepted,
3615,050,639 CAPP ST,X,08/08/14,08/08/14,,,IN,3,Screening Form Accepted,
3615,038,654 CAPP ST,X,08/29/14,08/29/14,,,IN,3,Screening Form Accepted,
3615,051,633 CAPP ST,X,03/17/14,03/17/14,,,IN,3,Screening Form Accepted,
3615,015,3150 22ND ST,X,09/08/14,09/08/14,,,IN,3,Screening Form Accepted,
3616,070,1043 VALENCIA ST,,08/19/14,09/02/14,,,OUT, ,Not Subject to the Program,
3616,014,1081 VALENCIA ST,X,11/01/13,11/01/13,,,OUT,,Not Subject to the Program,
3616,008,2578 MISSION ST,X,09/11/14,09/11/14,,,IN,4,Screening Form Accepted,
3616,022,1037 VALENCIA ST,X,01/03/14,01/03/14,,,IN,4,Screening Form Accepted,
3616,015,1075 VALENCIA ST,X,05/28/14,05/28/14,,,IN,4,Screening Form Accepted,
3617,059,943 GUERRERO ST,X,02/24/14,02/24/14,,,IN,3,Permit Issued,
3617,063,915 GUERRERO ST,X,05/03/14,05/06/14,,,OUT,,Not Subject to the Program,
3617,046,12 HILL ST,X,08/25/14,12/12/14,,,OUT,,Not Subject to the Program,
3617,061,925 GUERRERO ST,X,07/02/14,07/02/14,,,IN,3,Screening Form Accepted,
3617,001,3309 21ST ST,X,06/25/14,06/25/14,,,IN,4,Screening Form Accepted,
3617,012,3318 22ND ST,X,04/02/14,04/02/14,,,IN,4,Screening Form Accepted,
3617,015,3330 22ND ST,X,09/06/14,09/06/14,,,IN,4,Screening Form Accepted,
3617,079,3321 21ST ST,X,07/17/14,07/17/14,,,IN,3,Screening Form Accepted,
3617,036,69 HILL ST,X,11/01/13,11/01/13,,,IN,3,Screening Form Accepted,
3617,060A,939 GUERRERO ST,X,08/27/14,08/27/14,,,IN,3,Screening Form Accepted,
3617,021,3364 22ND ST,X,06/17/14,06/17/14,,,IN,4,Screening Form Accepted,
3618,038,3485 21ST ST,,03/06/14,03/06/14,,,IN,3,Permit Issued,
3618,021,3488 22ND ST,X,10/07/13,10/07/13,,,IN,3,"Work Complete, CFC Issued",
3618,005,940 GUERRERO ST,X,08/23/14,08/28/14,,,OUT,,Not Subject to the Program,
3618,067,39 FAIR OAKS ST,X,01/02/14,03/24/14,,,OUT,,Not Subject to the Program,
3618,064,1 FAIR OAKS ST,X,10/23/13,11/01/13,,,OUT,,Not Subject to the Program,
3618,014,3410 22ND ST,X,05/01/14,05/01/14,,,IN,4,Screening Form Accepted,
3618,053,83 FAIR OAKS ST,X,07/14/14,07/14/14,,,IN,3,Screening Form Accepted,
3618,024,875 DOLORES ST,X,02/19/14,02/19/14,,,IN,3,Screening Form Accepted,
3618,039,3471 21ST ST,X,01/10/14,01/10/14,,,IN,3,Screening Form Accepted,
3618,018,3456 22ND ST,X,10/06/14,10/06/14,,,IN,3,Screening Form Accepted,
3619,034,985 CHURCH ST,,08/12/14,08/12/14,,,IN,3,Permit Issued,
3619,016,878 DOLORES ST, ,08/24/14,08/24/14,,,IN,3,Screening Form Accepted,
3619,042,947 CHURCH ST,X,06/18/14,06/18/14,,,IN,3,Screening Form Accepted,
3620,077,3618 22ND ST,X,10/08/13,10/08/13,,,IN,3,"Work Complete, CFC Issued",
3620,005,300 HILL ST,X,04/22/14,04/22/14,,,IN,3,Screening Form Accepted,
3621,085,849 NOE ST,X,07/31/14,07/31/14,,,IN,3,Screening Form Accepted,
3621,084,490 HILL ST,X,07/15/14,07/15/14,,,IN,3,Screening Form Accepted,
3622,012,886 NOE ST,X,09/04/14,09/04/14,,,IN,4,Screening Form Accepted,
3622,026,3866 22ND ST,X,05/16/14,09/15/14,05/16/14,09/15/14,OUT,,Screening Form and Optional Evaluation Form Approved,
3628,011,1070 CHURCH ST,X,07/09/14,07/09/14,,,IN,2,"Work Complete, CFC Issued",
3628,014,1090 CHURCH ST,X,06/16/14,06/16/14,,,IN,3,Screening Form Accepted,
3629,013,168 CHATTANOOGA ST,X,07/30/14,08/07/14,,,OUT,,Not Subject to the Program,
3630,016,3724 23RD ST,X,07/16/14,07/16/14,,,IN,3,Work Complete,
3630,024,165 CHATTANOOGA ST,X,07/03/14,07/03/14,,,IN,3,Screening Form Accepted,
3630,009,966 DOLORES ST,X,09/08/14,09/08/14,,,IN,3,Screening Form Accepted,
3630,025,159 CHATTANOOGA ST,X,07/21/14,07/21/14,,,IN,3,Permit Filed,
3631,027,937 DOLORES ST,X,06/16/14,06/16/14,,,IN,3,"Work Complete, CFC Issued",
3631,002,106 FAIR OAK ST,,,,,,IN,3,Permit Issued,
3631,024,951A DOLORES ST,X,05/15/14,05/15/14,,,IN,3,Permit Issued,
3631,033,921 DOLORES ST,,09/08/14,09/08/14,,,IN,3,Screening Form Accepted,
3631,026,941 DOLORES ST,X,11/03/14,11/03/14,,,IN,3,Screening Form Accepted,
3631 ,024,951C DOLORES ST,,05/15/14,05/15/14,,,OUT,,Not Subject to the Program,
3632,005,1038 GUERRERO ST,X,04/28/14,04/28/14,,,IN,4,"Work Complete, CFC Issued",
3632,035,3449 22ND ST,X,05/02/14,05/02/14,,,IN,4,Screening Form Accepted,
3632,018,167 FAIR OAKS ST,X,08/27/14,08/27/14,,,IN,4,Screening Form Accepted,
3632,021,155 FAIR OAKS ST, ,08/19/14,08/19/14,,,IN,4,Screening Form Accepted,
3632,004,1028 GUERRERO ST,X,09/30/14,09/30/14,,,IN,3,Screening Form Accepted,
3632,001,1000 GUERRERO ST,X,08/29/14,08/29/14,,,IN,4,Screening Form Accepted,
3632,025,129 FAIR OAKS ST,X,06/05/14,06/05/14,,,IN,4,Screening Form Accepted,
3633,009,46 ALVARADO ST,X,03/06/14,03/06/14,,,IN,3,Screening Form Accepted,
3633,022,3375 22ND ST,X,08/18/14,08/18/14,,,IN,3,Screening Form Accepted,
3634,006,3520 23RD ST,X,07/07/14,07/07/14,,,IN,3,Permit Filed,
3634,011,3542 23RD ST,X,08/18/14,12/23/14,,,OUT,,Not Subject to the Program,
3634,012,3550 23RD ST,X,06/11/14,06/11/14,,,IN,3,Screening Form Accepted,
3634,010,3536 23RD ST,X,07/24/14,07/24/14,,,IN,3,Screening Form Accepted,
3635,005,1128 VALENCIA ST,X,08/20/15,08/20/15,,,OUT,,Not Subject to the Program,
3635,012,1168 VALENCIA ST,X,06/26/14,06/26/14,,,IN,3,Screening Form Accepted,
3635,009,1150 VALENCIA ST,X,06/20/14,06/20/14,,,IN,4,Screening Form Accepted,
3636,040,181 BARTLETT ST,,09/04/14,09/04/14,,,IN,3,Work Complete,
3636,043A,155 BARTLETT ST,,10/13/15,10/13/15,,,IN,3,Screening Form Accepted,
3636,031,1155 VALENCIA ST,X,05/08/14,05/08/14,,,IN,4,Screening Form Accepted,
3636,034,3283 22ND ST,X,08/28/14,08/28/14,,,IN,4,Screening Form Accepted,
3637,027,2637 MISSION ST,X,09/12/14,09/12/14,,,IN,4,Permit Issued,
3637,019C,3254 23RD ST,X,05/09/14,05/09/14,,,IN,4,Permit Filed,
3637,009,1146 SOUTH VAN NESS AV,X,10/29/13,11/01/13,,,OUT,,Not Subject to the Program,
3637,019D,3270 23RD ST,X,02/21/14,02/21/14,,,IN,4,Screening Form Accepted,
3637,018B,3220 23RD ST,X,09/08/14,09/08/14,,,IN,3,Screening Form Accepted,
3637,026,2647 MISSION ST,X,06/03/14,06/03/14,,,IN,4,Screening Form Accepted,
3637,020,2697 MISSION ST,X,07/24/14,07/24/14,,,IN,4,Screening Form Accepted,
3637,048,759 CAPP ST,X,08/01/14,08/01/14,,,IN,3,Screening Form Accepted,
3637,012A,1166 SOUTH VAN NESS AV,X,11/22/13,11/22/13,,,IN,3,Screening Form Accepted,
3637,016,1186 SOUTH VAN NESS AV,X,06/23/14,06/23/14,,,IN,3,Screening Form Accepted,
3637,007,1130 SOUTH VAN NESS AV,X,06/23/14,06/23/14,,,IN,3,Screening Form Accepted,
3637,029,2619 MISSION ST,X,08/26/14,08/26/14,,,IN,4,Screening Form Accepted,
3637,002,1106 SOUTH VAN NESS AV,X,08/20/14,08/20/14,,,IN,3,Screening Form Accepted,
3637,001,3111 22ND ST,X,08/20/14,08/20/14,,,IN,4,Screening Form Accepted,
3637,063,3129 22ND ST,X,09/09/14,09/09/14,,,IN,4,Screening Form Accepted,
3637,003,1110 SOUTH VAN NESS AV,X,04/02/14,04/02/14,07/24/15,07/30/15,OUT,,Screening Form and Optional Evaluation Form Approved,
3638,001,3001 22ND ST,X,05/23/14,10/16/14,,,OUT,,Not Subject to the Program,
3638,021,880 SHOTWELL ST,X,11/22/13,12/04/13,,,OUT,,Not Subject to the Program,
3638,033,1141 SOUTH VAN NESS AV,X,03/04/14,03/24/14,,,OUT,,Not Subject to the Program,
3638,003,2612 FOLSOM ST,X,11/26/13,01/14/14,,,OUT,,Not Subject to the Program,
3638,045,862 SHOTWELL ST,,08/28/14,10/09/14,,,OUT, ,Not Subject to the Program,
3638,046,868 SHOTWELL ST,X,09/14/14,09/14/14,,,IN,3,Screening Form Accepted,
3638,025,1195 SOUTH VAN NESS AV,X,06/18/14,06/18/14,,,IN,3,Screening Form Accepted,
3638,041,840 SHOTWELL ST,X,02/03/14,02/03/14,,,IN,3,Screening Form Accepted,
3638,042,846 SHOTWELL ST,X,09/10/14,09/10/14,,,IN,3,Screening Form Accepted,
3638,030,1169 SOUTH VAN NESS AV,X,09/14/15,09/14/15,,,IN,3,Screening Form Accepted,
3638,035,3075 22ND ST,X,07/29/14,07/29/14,,,IN,3,Screening Form Accepted,
3639,013,2987 22ND ST,X,10/24/14,10/24/14,,,IN,4,Permit Issued,
3639,034,2913 22ND ST,X,03/14/14,03/14/14,,,IN,4,Screening Form Accepted,
3639,011,2629 FOLSOM ST,X,10/16/13,10/16/13,,,IN,2,Screening Form Accepted,
3640,063,3011 23RD ST,X,05/23/14,05/23/14,,,IN,3,Permit Issued,
3640,017,3050 24TH ST,X,04/21/14,04/28/14,,,OUT,,Not Subject to the Program,
3640,061,3025 23RD ST,X,08/22/14,08/22/14,,,IN,3,Screening Form Accepted,
3640,062,3019 23RD ST,X,08/22/14,08/22/14,,,IN,3,Screening Form Accepted,
3640,020,3070 24TH ST,X,07/28/14,07/28/14,,,IN,4,Screening Form Accepted,
3640,011,3000 24TH ST,,10/01/14,10/01/14,,,IN,4,Screening Form Accepted,
3641,058,945 SHOTWELL ST,X,10/18/13,10/18/13,,,IN,3,Permit Filed,
3641,023,3182 24TH ST,X,03/21/14,03/21/14,,,IN,4,Screening Form Accepted,
3641,022,3172 24TH ST,X,11/05/13,11/05/13,,,IN,4,Screening Form Accepted,
3641,019,3156 24TH ST,X,08/04/14,08/04/14,,,IN,4,Screening Form Accepted,
3641,074,2700 FOLSOM ST,X,09/04/14,09/04/14,,,IN,2,Screening Form Accepted,
3641,036,3179 23RD ST,X,09/12/14,09/12/14,,,IN,3,Screening Form Accepted,
3642,039,840 CAPP ST,X,10/29/14,10/30/14,,,OUT,,Not Subject to the Program,
3642,063,3241 23RD ST,X,07/23/14,07/23/14,,,IN,3,Screening Form Accepted,
3642,028,2745 MISSION ST,X,07/22/14,07/22/14,,,IN,4,Screening Form Accepted,
3642,065,3219 23RD ST,X,10/08/14,10/08/14,,,IN,3,Screening Form Accepted,
3642,029,2733 MISSION ST,X,06/10/14,06/10/14,,,IN,4,Screening Form Accepted,
3642 ,040,846 CAPP ST,X,06/25/14,06/25/14,,,IN,3,Screening Form Accepted,
3643,040,259 BARTLETT ST,X,09/03/14,09/03/14,,,IN,3,"Work Complete, CFC Issued",
3643,053,2700 MISSION ST,X,06/30/14,07/14/14,,,OUT,,Not Subject to the Program,
3643,016,3362 24TH ST,X,03/30/14,04/28/14,,,OUT,,Not Subject to the Program,
3643,041,255 BARTLETT ST,X,08/21/14,06/01/15,,,OUT,,Not Subject to the Program,
3643,008,2766 MISSION ST,X,10/16/14,10/16/14,,,IN,4,Screening Form Accepted,
3644,004,1234 VALENCIA ST,X,04/28/14,04/28/14,,,IN,3,Permit Issued,
3644,020,1200 VALENCIA ST,X,08/11/14,08/11/14,,,OUT,,Not Subject to the Program,
3644,015B,131 SAN JOSE AV,X,09/15/14,10/16/14,,,OUT,,Not Subject to the Program,
3644,013,3440 24TH ST,X,03/24/14,03/24/14,,,IN,3,Screening Form Accepted,
3645,014,3560 24TH ST,X,08/14/14,07/16/15,, ,OUT, ,Not Subject to the Program,
3645,015,1181 GUERRERO ST,X,07/24/14,07/24/14,,,IN,3,Screening Form Accepted,
3646,016,1123 GUERRERO ST,X,11/22/13,11/22/13,,,IN,3,Permit Issued,
3646,022,3543 23RD ST,X,11/19/13,11/19/13,,,IN,3,Screening Form Accepted,
3646,014,1135 GUERRERO ST,X,11/14/13,11/14/13,,,IN,3,Screening Form Accepted,
3646,017,1117 GUERRERO ST,X,05/05/14,05/05/14,,,IN,3,Screening Form Accepted,
3647,017,3638 24TH ST,X,08/21/14,09/22/15,,,IN,3,   Subject to the Program,
3647,013,1188 GUERRERO ST,X,03/25/14,03/25/14,,,OUT,,Not Subject to the Program,
3647,035,3625 23RD ST,X,06/01/14,06/01/14,,,OUT,,Not Subject to the Program,
3647,011,1170 GUERRERO ST,X,10/29/13,10/29/13,,,IN,2,Screening Form Accepted,
3647,016,3632 24TH ST,X,06/13/14,06/13/14,,,IN,3,Screening Form Accepted,
3647,004,1130 GUERRERO ST,X,07/18/14,07/18/14,,,IN,3,Screening Form Accepted,
3647,001,3601 23RD ST,X,11/05/14,11/05/14,,,IN,3,Screening Form Accepted,
3648,020,1093 DOLORES ST,,06/24/15,06/24/15,,,IN,3,Permit Issued,
3648,023,1065 DOLORES ST,,,,,,IN,3,Permit Issued,
3648,007,220 FAIR OAKS ST,X,08/21/14,08/21/14,,,IN,3,Screening Form Accepted,
3649,013,3716 24TH ST,X,07/15/14,07/15/14,,,IN,3,Permit Issued,
3649,036,1040 DOLORES ST,X,08/22/14,09/22/14,,,OUT,,Not Subject to the Program,
3649,029,205 CHATTANOOGA ST,X,11/19/13,11/19/13,,,IN,3,Screening Form Accepted,
3649,007,1064 DOLORES ST,,08/21/14,08/21/14,,,IN,3,Screening Form Accepted,
3649,037,1050 DOLORES ST,X,09/05/14,09/05/14,,,IN,3,Screening Form Accepted,
3649,001,1000 DOLORES ST,X,11/14/13,11/14/13,,,IN,3,Screening Form Accepted,
3649,015,3740 24TH ST,X,05/19/14,05/19/14,,,IN,3,Screening Form Accepted,
3650,049,1165 CHURCH ST ,,,,,,IN,3,Permit Issued,
3650,019,3770 24TH ST,X,08/14/14,08/19/14,,,OUT,,Not Subject to the Program,
3651,019,3830 24TH ST,X,03/24/14,03/24/14,,,IN,3,"Work Complete, CFC Issued",
3652,012,250 VICKSBURG ST,X,10/18/13,10/18/13,,,OUT,,Not Subject to the Program,
3652,051,382 ELIZABETH ST,X,12/11/13,12/11/13,,,IN,3,Screening Form Accepted,
3652,046,3864 24TH ST,X,07/21/14,07/21/14,,,IN,4,Screening Form Accepted,
3652,045,3858 24TH ST,X,08/21/14,08/21/14,,,IN,3,Screening Form Accepted,
3652,042,1051 SANCHEZ ST,X,09/06/14,09/06/14,,,IN,3,Screening Form Accepted,
3653,011,410 ELIZABETH ST,X,08/21/14,11/24/15,,,OUT,,Not Subject to the Program,
3653,016,442 ELIZABETH ST,X,06/24/14,06/24/14,,,IN,3,Screening Form Accepted,
3653,027,1013 NOE ST,X,05/14/14,05/14/14,,,IN,3,Screening Form Accepted,
3654,025,481 ELIZABETH ST,X,11/08/13,11/08/13,,,IN,3,Permit Issued,
3654,017,3986 24TH ST,X,04/07/14,04/07/14,,,IN,3,Screening Form Accepted,
3654,001,1048 SANCHEZ ST,,09/10/14,09/10/14,,,IN,3,Screening Form Accepted,
3655,009,1042 NOE ST,X,03/13/14,03/13/14,,,IN,3,"Work Complete, CFC Issued",
3656,002,1060 NOE ST,X,08/29/14,08/29/14,,,IN,3,Screening Form Accepted,
3701,022,1284 MISSION ST,X,09/20/13,09/30/13,,,OUT,,Not Subject to the Program,
3702,045,1133 MARKET ST,X,09/11/14,09/11/14,,,IN,4,Screening Form Accepted,
3703,081,1018 MISSION ST,X,09/11/14,09/15/14,,,OUT,,Not Subject to the Program,
3703,027,64 06TH ST,X,11/02/14,11/10/14,,,OUT,,Not Subject to the Program,
3703,006,48 06TH ST,X,03/21/14,03/24/14,,,OUT,,Not Subject to the Program,
3703,029,1008 MISSION ST,X,06/16/15,06/16/15,,,OUT,,Not Subject to the Program,
3703,002,20 06TH ST,X,03/28/14,04/18/14,,,OUT,,Not Subject to the Program,
3703,005,42 06TH ST,X,11/17/14,11/20/14,,,OUT,,Not Subject to the Program,
3703,028,72 06TH ST,X,08/21/14,08/21/14,,,IN,3,Screening Form Accepted,
3704,052,39 06TH ST,X,07/16/14,07/29/14,,,OUT,,Not Subject to the Program,
3704,017,948 MISSION ST,X,11/12/13,11/13/13,,,OUT,,Not Subject to the Program,
3704,003,40 05TH ST,X,07/08/14,07/11/14,,,OUT,,Not Subject to the Program,
3704,053,35 06TH ST,X,,,,,OUT,,Not Subject to the Program,
3725,007,194 05TH ST,X,09/24/13,09/30/13,,,OUT,,Not Subject to the Program,
3725,063,139 06TH ST,X,04/22/14,04/28/14,,,OUT,,Not Subject to the Program,
3725,064,133 06TH ST,X,09/15/14,10/16/14,,,OUT,,Not Subject to the Program,
3725,026,169 06TH ST,X,09/10/14,09/10/14,,,OUT,,Not Subject to the Program,
3725,079,117 06TH ST,X,02/14/14,02/18/14,,,OUT,,Not Subject to the Program,
3725,066,481 MINNA ST,X,04/22/14,04/28/14,,,OUT,,Not Subject to the Program,
3726,060,526 NATOMA ST,X,12/31/13,12/31/13,,,IN,3,"Work Complete, CFC Issued",
3726,045,547 NATOMA ST,X,08/01/14,08/01/14,,,IN,3,"Work Complete, CFC Issued",
3726,005,132 06TH ST,X,08/21/14,08/21/14,,,IN,4,"Work Complete, CFC Issued",
3726,001,100 06TH ST,X,08/24/14,08/28/14,,,OUT,,Not Subject to the Program,
3726,011,1000 HOWARD ST,X,07/23/14,07/25/14,,,OUT,,Not Subject to the Program,
3726,058,520 NATOMA ST,X,11/06/14,11/14/14,,,OUT,,Not Subject to the Program,
3726,046,543 NATOMA ST,X,08/21/14,08/21/14,,,IN,4,Screening Form Accepted,
3726,008,152 06TH ST,X,10/24/14,10/24/14,,,IN,4,Screening Form Accepted,
3726,088,569 MINNA ST,X,08/26/14,08/26/14,,,IN,3,Screening Form Accepted,
3726,027,1078 HOWARD ST,X,08/06/14,08/06/14,,,IN,4,Screening Form Accepted,
3726,025,1068 HOWARD ST,X,11/13/14,11/13/14,,,IN,2,Screening Form Accepted,
3726,018,1040 HOWARD ST,X,06/23/14,06/23/14,,,IN,4,Screening Form Accepted,
3726,009,162 06TH ST,X,07/31/14,07/31/14,,,IN,4,Screening Form Accepted,
3726,073,566 NATOMA ST,X,09/11/14,09/11/14, ,,IN,3,Screening Form Accepted,
3727,074,647 MINNA ST,X,07/18/14,07/18/14,,,IN,3,Permit Issued,
3727,072C,653 MINNA ST,,10/23/13,11/01/13,,,OUT,,Not Subject to the Program,
3727,113,135 08TH ST,X,07/18/14,07/25/14,,,OUT,,Not Subject to the Program,
3727,054,644 NATOMA ST,X,08/20/14,08/20/14,,,IN,4,Screening Form Accepted,
3727,047,624 NATOMA ST,X,07/29/14,07/29/14,,,IN,4,Screening Form Accepted,
3727,070,665 MINNA ST,X,09/07/14,09/07/14,,,IN,4,Screening Form Accepted,
3727,086,611 MINNA ST,X,10/01/14,10/01/14,,,IN,3,Screening Form Accepted,
3727,048,626 NATOMA ST,X,12/01/14,12/01/14,,,IN,3,Screening Form Accepted,
3728,006,156 08TH ST,X,02/25/14,02/25/14,,,IN,4,"Work Complete, CFC Issued",
3728,053,761 MINNA ST,,09/08/14,09/08/14,,,IN,4,Screening Form Accepted,
3728,016,1242 HOWARD ST,X,08/29/14,08/27/15,,,IN,3,   Subject to the Program,
3728,045,770 NATOMA ST,X,01/13/14,01/13/14,,,IN,4,Screening Form Accepted,
3728,034,712 NATOMA ST,X,05/09/14,05/09/14,,,IN,3,Screening Form Accepted,
3728,072,101 09TH ST,X,05/15/14,05/15/14,,,IN,2,Screening Form Accepted,
3729,057,249 09TH ST,X,09/10/14,09/10/14,,,IN,3,Permit Issued,
3729,048,744 CLEMENTINA ST,X,01/24/14,01/24/14,,,IN,4,"Work Complete, CFC Issued",
3729,082,201 09TH ST,X,04/24/15,04/24/15,,,IN,4,Screening Form Accepted,
3729,078,227 09TH ST,X,07/22/14,07/22/14,,,IN,4,Screening Form Accepted,
3730,046,54 SUMNER ST,X,05/14/14,05/14/14,,,IN,4,Permit Filed,
3730,094,24 LANGTON ST,X,06/24/14,06/24/14,,,IN,3,"Work Complete, CFC Issued",
3730,061,1155 HOWARD ST,X,05/20/14,05/20/14,,,IN,3,Screening Form Accepted,
3730,064,30 RAUSCH ST,X,09/09/14,09/09/14,,,IN,4,Screening Form Accepted,
3730,065,32 RAUSCH ST,X,09/07/14,09/07/14,,,IN,3,Screening Form Accepted,
3731,083,152 RUSS ST,X,03/03/14,03/03/14,,,IN,4,"Work Complete, CFC Issued",
3731,041,219 07TH ST,X,10/09/14,10/09/14,,,IN,3,Permit Issued,
3731,054A,70 MOSS ST,X,08/22/14,08/28/14,,,OUT,,Not Subject to the Program,
3731,001,200 06TH ST,X,,,,,OUT,,Not Subject to the Program,
3731,115,19A HARRIET ST,X,07/08/14,07/08/14,,,IN,4,Screening Form Accepted,
3731,117,1011 HOWARD ST,X,08/21/14,08/21/14,,,IN,3,Screening Form Accepted,
3731,003,226 06TH ST,X,08/21/14,08/21/14,,,IN,3,Screening Form Accepted,
3731,082,146 RUSS ST,X,07/29/14,07/29/14,,,IN,4,Screening Form Accepted,
3731,113,31 HARRIET ST,X,11/21/13,11/21/13,,,IN,3,Screening Form Accepted,
3731,088,181 RUSS ST,X,12/23/14,12/23/14,,,IN,3,Screening Form Accepted,
3731,110,84 HARRIET ST,X,06/10/14,06/10/14,,,IN,3,Screening Form Accepted,
3731,092,155 RUSS ST,X,03/11/14,03/11/14,,,IN,3,Screening Form Accepted,
3731,019,1040 FOLSOM ST,X,09/04/14,09/04/14,,,IN,4,Screening Form Accepted,
3731,062A,53 MOSS ST,X,11/18/13,11/18/13,,,IN,3,Screening Form Accepted,
3731,125,1082 FOLSOM ST,,09/11/14,09/11/14,,,IN,4,Screening Form Accepted,
3732,067,452 CLEMENTINA ST,X,01/30/14,01/30/14,,,IN,3,"Work Complete, CFC Issued",
3732,089,445 TEHAMA ST,X,09/11/14,09/11/14,,,IN,4,Screening Form Accepted,
3732,124,201 06TH ST,X,09/12/14,09/12/14,,,IN,2,Screening Form Accepted,
3732,106,436 TEHAMA ST,X,04/16/14,04/16/14,,,IN,4,Screening Form Accepted,
3732,130,973 HOWARD ST,X,03/26/14,03/26/14,,,IN,4,Screening Form Accepted,
3732,234,481 CLEMENTINA ST,X,11/13/13,12/16/13,11/13/13,12/16/13,OUT,,Screening Form and Optional Evaluation Form Approved,
3733,017,832 FOLSOM ST,,07/15/14,07/25/14,,,OUT,,Not Subject to the Program,
3736,114,505 HOWARD ST,X,,,,,OUT,,Not Subject to the Program,
3736,024,568 FOLSOM ST,X,09/08/14,09/08/14,,,IN,4,Screening Form Accepted,
3749,013,29 GUY PL,X,02/13/14,02/13/14,,,IN,3,"Work Complete, CFC Issued",
3749,047,66 LANSING ST,X,09/15/14,09/15/14,,,IN,3,Screening Form Accepted,
3753,083,279 SHIPLEY ST,X,08/26/14,02/09/15,,,OUT,,Not Subject to the Program,
3753,145,915 FOLSOM ST,X,11/12/13,11/12/13,,,IN,4,Screening Form Accepted,
3753,009,388 05TH ST,X,10/27/14,10/27/14,,,IN,3,Screening Form Accepted,
3753,084,277 SHIPLEY ST,X,10/29/13,10/29/13,,,IN,4,Screening Form Accepted,
3753,008,372 05TH ST,,09/11/14,09/11/14,,,IN,4,Screening Form Accepted,
3755,111,172 LANGTON ST,X,08/19/14,08/19/14,,,IN,4,"Work Complete, CFC Issued",
3755,117,171 LANGTON ST,X,10/31/14,11/14/14,,,OUT,,Not Subject to the Program,
3755,168,130 LANGTON ST,X,11/21/14,12/04/14,,,OUT,,Not Subject to the Program,
3757,049,449 09TH ST,X,12/04/14,12/04/14,,,IN,4,Permit Filed,
3759,010,480 06TH ST,X,06/11/14,06/11/14,,,IN,4,Screening Form Accepted,
3762,011,518 BRYANT ST,X,11/24/14,11/24/14,,,IN,4,Screening Form Accepted,
3763,022,479 03RD ST,X,08/07/14,08/07/14,,,IN,4,Screening Form Accepted,
3775,058,104 SOUTH PARK *,X,06/23/14,06/23/14,,,IN,4,Permit Issued,
3775,039,45 SOUTH PARK *,X,06/23/14,06/23/14,,,IN,3,Permit Issued,
3775,048,22 SOUTH PARK *,X,08/22/14,08/22/14,,,IN,2,Screening Form Accepted,
3775,057,102 SOUTH PARK *,X,08/22/14,08/22/14,,,IN,2,Screening Form Accepted,
3776,008,566 03RD ST,X,04/04/14,04/17/14,,,OUT,,Not Subject to the Program,
3777,026,146 FREELON ST,X,08/19/14,08/19/14,,,IN,4,"Work Complete, CFC Issued",
3777,030,570 04TH ST,X,06/19/14,06/19/14,,,IN,4,Screening Form Accepted,
3777,001,500 04TH ST,X,07/22/15,07/22/15,,,IN,4,Screening Form Accepted,
3779,087,55 BOARDMAN PL,X,08/26/14,08/26/14,,,IN,3,Screening Form Accepted,
3779,095,19 BOARDMAN PL,X,04/16/14,04/16/14,,,IN,3,Screening Form Accepted,
3780,033,17 DECATUR ST,X,09/13/14,10/02/14,,,OUT,,Not Subject to the Program,
3787,017,18 CLYDE ST,X,06/10/14,06/10/14,,,IN,4,Screening Form Accepted,
3948,004,1050 17TH ST,,08/19/14,09/02/14,,,OUT, ,Not Subject to the Program,
3961,011,2330 17TH ST,X,07/25/14,07/25/14,,,IN,3,Screening Form Accepted,
3975,011,401 UTAH ST,X,05/19/14,05/19/14,,,IN,4,Screening Form Accepted,
3983,008,160 CONNECTICUT ST,X,09/13/14,09/13/14,,,IN,3,Screening Form Accepted,
3984,004,156 MISSOURI ST,X,08/05/14,08/05/14,,,IN,3,Screening Form Accepted,
4000,011B,1106 18TH ST,X,12/31/13,12/31/13,,,IN,3,"Work Complete, CFC Issued",
4002,013,1304 18TH ST,X,06/05/14,06/05/14,,,IN,3,Permit Issued,
4003,030,1335 MARIPOSA ST,X,09/01/14,09/02/14,,,OUT,,Not Subject to the Program,
4003,012,272 MISSOURI ST,X,09/14/14,09/14/14,09/14/14,10/02/14,OUT,,Screening Form and Optional Evaluation Form Approved,
4004,011,272 CONNECTICUT ST,X,07/18/14,07/18/14,,,IN,3,Permit Filed,
4004,007,250 CONNECTICUT ST,X,09/12/14,09/12/14,,,IN,3,Permit Filed,
4011,016A,2236 18TH ST,X,07/09/14,08/11/14,,,OUT,,Not Subject to the Program,
